transaction_id,amount,merchant_risk_band,hour_of_day,is_international,days_since_last_transaction,distance_from_home_km,cardholder_age_years,is_fraud
50001,85.97,3,16,0,5,147,51,0
50002,12.04,1,21,0,1,27,40,0
50003,44.95,1,12,0,4,88,40,0
50004,124.31,2,6,0,7,28,38,0
50005,39.0,3,7,0,1,17,69,0
50006,33.62,1,18,0,2,6,33,0
50007,232.3,1,0,0,0,30,40,0
50008,46.07,1,4,1,0,31,18,0
50009,26.18,3,14,0,0,24,52,0
50010,4.68,1,19,0,1,16,43,0
50011,37.8,1,16,0,4,30,52,0
50012,90.82,1,6,0,1,11,50,0
50013,255.45,1,20,0,5,4,48,0
50014,4.8,1,13,0,7,47,33,0
50015,65.61,1,13,1,2,5,34,0
50016,89.65,1,16,0,4,3,52,0
50017,21.12,1,13,0,2,30,36,0
50018,316.58,1,18,1,11,25,53,0
50019,12.3,1,9,0,1,32,46,0
50020,396.11,1,4,0,1,60,54,0
50021,43.84,1,8,0,2,59,27,0
50022,99.66,1,12,0,0,46,37,0
50023,21.57,1,16,0,2,21,44,0
50024,4.98,3,21,0,7,6,32,0
50025,32.01,2,7,0,3,21,38,0
50026,84.9,1,12,0,0,43,36,0
50027,18.1,1,19,0,1,17,49,0
50028,25.42,1,17,0,3,39,48,0
50029,40.77,3,14,0,7,65,45,0
50030,5.08,3,6,0,7,60,28,0
50031,25.3,3,13,0,11,4,34,0
50032,48.09,2,8,0,1,3,32,0
50033,18.38,3,11,1,0,3,66,1
50034,183.6,1,6,0,3,39,22,0
50035,49.12,1,13,1,12,90,27,0
50036,2.29,1,12,1,3,95,43,0
50037,18.82,1,6,0,0,4,28,0
50038,14.85,1,0,0,3,4,34,0
50039,12.02,3,11,0,3,22,33,0
50040,269.88,3,9,0,11,49,18,0
50041,82.4,1,9,0,3,6,44,0
50042,22.31,1,17,0,6,29,20,0
50043,19.86,1,7,0,0,7,75,0
50044,24.21,3,6,0,2,57,36,0
50045,17.12,1,12,0,12,51,38,0
50046,14.78,3,16,0,4,3,30,0
50047,70.62,1,13,0,0,98,44,0
50048,2.5,1,20,0,1,31,48,0
50049,71.85,2,16,0,0,64,18,1
50050,5.04,1,11,0,2,2,48,0
50051,71.15,1,10,0,1,35,48,0
50052,146.32,3,19,0,1,1,21,0
50053,9.45,3,23,0,10,27,50,0
50054,14.15,1,14,0,5,24,25,0
50055,129.99,1,15,0,1,38,36,0
50056,24.35,1,11,0,3,49,35,0
50057,13.25,3,13,0,7,2,24,0
50058,14.28,3,14,0,6,59,27,0
50059,846.79,1,23,0,7,55,76,0
50060,19.2,1,10,1,2,6,18,0
50061,70.71,1,13,0,2,109,57,0
50062,85.28,1,0,1,4,6,41,0
50063,279.68,1,20,0,4,14,67,1
50064,451.02,1,23,0,2,7,61,0
50065,3.17,1,13,0,1,102,25,0
50066,241.51,1,11,0,0,8,33,0
50067,43.93,1,18,0,2,15,57,0
50068,9.63,1,2,0,1,40,43,0
50069,130.63,1,14,0,6,3,29,0
50070,11.33,3,10,0,1,3,32,0
50071,196.92,1,7,0,7,10,76,0
50072,22.3,3,6,0,0,7,43,0
50073,148.39,1,16,0,0,36,43,0
50074,96.03,3,13,0,4,69,54,0
50075,7.61,1,20,0,1,22,24,0
50076,5.86,3,13,0,3,128,67,0
50077,45.57,1,5,0,0,14,18,0
50078,19.46,1,10,0,1,10,64,0
50079,86.59,3,10,0,3,19,52,0
50080,27.01,3,11,0,0,8,56,0
50081,11.84,3,11,0,3,21,35,0
50082,57.41,1,4,0,0,34,33,0
50083,2.47,1,12,0,2,70,68,0
50084,6.51,1,14,0,0,43,86,0
50085,9.51,3,0,0,2,9,47,0
50086,2.0,1,1,0,2,6,63,0
50087,58.67,1,14,0,2,8,48,0
50088,12.05,3,13,0,8,86,34,0
50089,49.7,1,14,0,1,200,72,0
50090,96.56,1,15,0,4,49,40,0
50091,190.13,1,18,0,2,99,54,0
50092,103.28,1,11,0,0,37,46,0
50093,4.56,1,16,0,2,34,52,0
50094,11.32,1,6,0,1,0,38,0
50095,3.82,1,0,0,0,19,48,0
50096,11.1,1,6,0,3,1,30,0
50097,246.01,1,16,0,6,20,71,0
50098,53.92,1,20,0,3,31,49,0
50099,133.39,1,4,0,1,58,43,0
50100,6.44,3,11,0,6,4,53,0
50101,27.99,1,13,1,1,6,54,0
50102,79.56,2,20,0,1,2,35,0
